id,pop
SL-IR-4,Ireland
SL-IR-12,Ireland
SL-KO-8,Korea
SL-AK-6,Alaska
SJ-KI-11,Korea
SL-DN-15,Denmark
SL-WR-7,russia
SL-WR-15,russia
SL-IR-5,Ireland
SL-KO-1,Korea
SL-KO-9,Korea
SL-AK-7,Alaska
SJ-KI-3,Korea
SL-DN-8,Denmark
SJ-KI-12,Korea
SJ-KI-20,Korea
SL-DN-16,Denmark
SL-WR-8,russia
SL-WR-16,russia
SL-IR-6,Ireland
SL-KO-2,Korea
SL-KO-10,Korea
SL-AK-8,Alaska
SJ-KI-4,Korea
SL-FD-1,Denmark
SL-NO-13,Norway
SL-CB-7,Maine
SL-LE-6,Maine
SL-FD-9,Denmark
SL-AD-5,Denmark
SL-IC-1,Iceland
SL-IC-9,Iceland
SL-WA-5,washington
SL-NW-1,Norway
SL-NW-9,Norway
SL-NO-5,Norway
SL-FD-2,Denmark
SL-NO-14,Norway
SL-CB-8,Maine
SL-LE-7,Maine
SL-FD-10,Denmark
SL-AD-6,Denmark
SL-IC-2,Iceland
SL-IC-10,Iceland
SL-WA-6,washington
SL-NW-2,Norway
SL-NW-10,Norway
SL-NO-6,Norway
SL-FD-3,Denmark
SL-NO-15,Norway
SL-CB-9,Maine
SL-LE-9,Maine
SL-FD-11,Denmark
SL-AD-7,Denmark
SL-IC-3,Iceland
SL-IC-11,Iceland
SL-WA-7,washington
SL-NW-3,Norway
SL-NW-11,Norway
SL-NO-7,Norway
SL-FD-4,Denmark
SL-BR-43,Connecticut
SL-LE-1,Maine
SL-LE-10,Maine
SL-FD-12,Denmark
SL-AD-8,Denmark
SL-IC-4,Iceland
SL-IC-12,Iceland
SL-WA-8,washington
SL-NW-4,Norway
SL-NW-12,Norway
SL-NO-8,Norway
SL-FD-5,Denmark
SL-BR-47,Connecticut
SL-LE-2,Maine
SL-LE-11,Maine
SL-AD-1,Denmark
SL-AD-9,Denmark
SL-IC-5,Iceland
SL-WA-1,washington
SL-WA-9,Norway
SL-NW-5,Norway
SL-NO-1,Norway
SL-NO-9,Norway
SL-FD-6,Denmark
SL-BR-48,Connecticut
SL-LE-3,Maine
SL-LE-12,Maine
SL-AD-2,Denmark
SL-AD-10,Denmark
SL-IC-6,Iceland
SL-WA-2,washington
SL-WA-10,washington
SL-NW-6,Norway
SL-NO-2,Norway
SL-NO-10,Norway
SL-FD-7,Denmark
SL-BR-41,Connecticut
SL-LE-4,Maine
SL-AD-3,Denmark
SL-AD-11,Denmark
SL-IC-7,Iceland
SL-WA-3,washington
SL-WA-11,washington
SL-NW-7,washington
SL-NO-3,Norway
SL-NO-11,Norway
SL-FD-8,Denmark
SL-CB-3,Maine
SL-LE-5,Maine
SL-AD-4,Denmark
SL-AD-12,Denmark
SL-IC-8,Iceland
SL-WA-4,washington
SL-WA-12,washington
SL-NW-8,Norway
SL-NO-4,Norway
SL-NO-12,Norway
R001,ROO
BON20,BON
BON28,BON
NOR6,NOR
R009,ROO
R017,ROO
R025,ROO
PUR5,PUR
PUR13,PUR
PUR21,PUR
BON4,BON
BON12,BON
R002,ROO
BON21,BON
BON29,BON
NOR7,NOR
R0010,ROO
R018,ROO
R026,ROO
PUR6,PUR
PUR14,PUR
PUR22,PUR
BON5,BON
BON13,BON
R003,ROO
BON22,BON
BON30,BON
NOR8,NOR
R011,ROO
R019,ROO
R027,ROO
PUR7,PUR
PUR15,PUR
PUR23,PUR
BON6,BON
BON14,BON
R004,ROO
BON23,BON
NOR1,NOR
NOR9,NOR
R012,ROO
R020,ROO
R028,ROO
PUR8,PUR
PUR16,PUR
PUR24,PUR
BON7,BON
BON15,BON
R005,ROO
BON24,BON
NOR2,NOR
NOR10,NOR
R013,ROO
R021,ROO
R029,ROO
PUR9,PUR
PUR17,PUR
PUR25,PUR
BON8,BON
BON16,BON
R006,ROO
BON25,BON
NOR3,NOR
NOR11,NOR
R014,ROO
R022,ROO
R030,ROO
PUR10,PUR
PUR18,PUR
BON1,BON
BON9,BON
BON17,BON
R007,ROO
BON26,BON
NOR4,NOR
R015,ROO
R023,ROO
PUR3,PUR
PUR11,PUR
PUR19,PUR
BON2,BON
BON10,BON
BON18,BON
R008,ROO
BON27,BON
NOR5,NOR
R016,ROO
R024,ROO
PUR4,PUR
PUR12,PUR
PUR20,PUR
BON3,BON
BON11,BON
BON19,BON
NOR12,NOR
NEW23,NEW
CA1,CAO
CA9,CAO
NOR20,NOR
NOR28,NOR
CA21,CAO
CA29,CAO
PAS06,PAS
PAS07,PAS
NEW7,NEW
NEW15,NEW
NOR13,NOR
NEW24,NEW
CA2,CAO
CA10,CAO
NOR21,NOR
NOR29,NOR
CA22,CAO
PAS05,PAS
CAD8,CAO
PAS08,PAS
NEW8,NEW
NEW16,NEW
NOR14,NOR
NEW25,NEW
CA3,CAO
CA11,CAO
NOR22,NOR
CA15,CAO
CA23,CAO
CAD1,CAO
CAD9,CAO
NEW1,NEW
NEW9,NEW
NEW17,NEW
NOR15,NOR
NEW26,NEW
CA4,CAO
PAS10,PAS
NOR23,NOR
CA16,CAO
CA24,CAO
CAD2,CAO
CAD10,CAO
NEW2,NEW
NEW10,NEW
NEW18,NEW
NOR16,NOR
NEW27,NEW
CA5,CAO
CA13,CAO
NOR24,NOR
CA17,CAO
CA25,CAO
CAD3,CAO
CAD11,CAO
NEW3,NEW
NEW11,NEW
NEW19,NEW
NOR17,NOR
NEW28,NEW
PAS09,PAS
PAS11,PAS
NOR25,NOR
CA18,CAO
PAS03,PAS
CAD4,CAO
CAD12,CAO
NEW4,NEW
NEW12,NEW
NEW20,NEW
NOR18,NOR
NEW29,NOR
CA7,CAO
NOR26,NOR
PAS01,PAS
PAS04,PAS
CAD5,CAO
CAD13,CAO
NEW5,NEW
NEW13,NEW
NEW21,NEW
NOR19,NOR
NEW30,NEW
